File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF387AGW	bam	bam		alignments	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE				2							ENCFF795LUQ	1847036951	ENCODE Processing Pipeline	e7f21a78c9f22ad827bac2f0ad064c1a		https://www.encodeproject.org/files/ENCFF387AGW/@@download/ENCFF387AGW.bam	hg19				released	s3://encode-public/2017/12/01/68b5855a-6992-4855-bea5-5676d6bd5a4d/ENCFF387AGW.bam				
ENCFF352KRQ	bam	bam		alignments	ENCSR468ZXN	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF716VBH, ENCFF878GLV	18119673035	ENCODE Processing Pipeline	715dac03cd42b2201643f733dadf4974		https://www.encodeproject.org/files/ENCFF352KRQ/@@download/ENCFF352KRQ.bam	hg19				released	s3://encode-public/2017/12/01/0113724e-7927-4e7b-ae6f-498dedbcf72a/ENCFF352KRQ.bam				
ENCFF809TXU	bam	bam		alignments	ENCSR770DEN	DNase-seq	NTR:0000524	fibroblast of skin of scalp	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF683DNV, ENCFF685HTD	12735165632	ENCODE Processing Pipeline	f824e07825f266f2e9fe533589990dbf		https://www.encodeproject.org/files/ENCFF809TXU/@@download/ENCFF809TXU.bam	hg19				released	s3://encode-public/2017/10/06/3e0d7fe6-86f4-4bbd-af4e-937165b78d25/ENCFF809TXU.bam				
ENCFF444KNO	bam	bam		alignments	ENCSR774RCO	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF345ZBA, ENCFF406SXE	12927860481	ENCODE Processing Pipeline	68b262ca7f1154c9619b811d88422fe1		https://www.encodeproject.org/files/ENCFF444KNO/@@download/ENCFF444KNO.bam	hg19				released	s3://encode-public/2017/10/06/eff99401-12b1-4d99-ba80-5b1c7d7aa581/ENCFF444KNO.bam				
ENCFF280FIP	bam	bam		alignments	ENCSR325LYJ	DNase-seq	NTR:0000526	fibroblast of skin of upper back	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF202LLO, ENCFF701YQI	12733813606	ENCODE Processing Pipeline	41850bf0e90ee0109c47c01c0f6d678f		https://www.encodeproject.org/files/ENCFF280FIP/@@download/ENCFF280FIP.bam	hg19				released	s3://encode-public/2017/10/06/58d71b46-8f73-4482-8c72-b9c029b7f34e/ENCFF280FIP.bam				
ENCFF455EBH	bam	bam		alignments	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF100MFN, ENCFF134KBY, ENCFF492TIQ	16116895207	ENCODE Processing Pipeline	0137f0d0fdcfc2610fa7bf2affac7eb8		https://www.encodeproject.org/files/ENCFF455EBH/@@download/ENCFF455EBH.bam	hg19				released	s3://encode-public/2018/11/16/5590b9b3-05dd-4f20-99c0-4656b5432e37/ENCFF455EBH.bam				
ENCFF607OCD	bam	bam		alignments	ENCSR963ALV	DNase-seq	NTR:0000711	neural progenitor cell	in vitro differentiated cells	Homo sapiens											DNA						2016-06-14	ENCODE				1							ENCFF458DNP	9253953933	ENCODE Processing Pipeline	8c153fc9a7f3ace3bf152298629b26a3		https://www.encodeproject.org/files/ENCFF607OCD/@@download/ENCFF607OCD.bam	hg19				released	s3://encode-public/2018/02/23/2d3ed902-d068-476a-b6d0-513ca60d5db8/ENCFF607OCD.bam				
ENCFF598JWF	bam	bam		alignments	ENCSR963ALV	DNase-seq	NTR:0000711	neural progenitor cell	in vitro differentiated cells	Homo sapiens											DNA						2016-06-14	ENCODE				2							ENCFF983LXZ	10702767241	ENCODE Processing Pipeline	8becd3c841c9dc1cffaccc8f1695609d		https://www.encodeproject.org/files/ENCFF598JWF/@@download/ENCFF598JWF.bam	hg19				released	s3://encode-public/2018/02/23/fa4fc0d6-1668-432a-af33-08d0ba5c8528/ENCFF598JWF.bam				
ENCFF409IVR	bam	bam		alignments	ENCSR019JDO	DNase-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF889ZST	16957716293	ENCODE Processing Pipeline	4e4ba514da71eb36b7fb83ce11c52305		https://www.encodeproject.org/files/ENCFF409IVR/@@download/ENCFF409IVR.bam	hg19				released	s3://encode-public/2017/09/19/382bc0cd-29e8-41b2-a090-f22feaebdbc9/ENCFF409IVR.bam				
ENCFF129BYR	bam	bam		alignments	ENCSR019JDO	DNase-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF844SDA	8013500159	ENCODE Processing Pipeline	9f2e4582183c8fb80120904d626e376b		https://www.encodeproject.org/files/ENCFF129BYR/@@download/ENCFF129BYR.bam	hg19				released	s3://encode-public/2017/09/19/7743a53c-0c70-4e57-8d4e-8c2ead8b2a99/ENCFF129BYR.bam				
ENCFF477RUX	bam	bam		alignments	ENCSR217RVH	DNase-seq	NTR:0000523	fibroblast of skin of right quadriceps	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF003KRI, ENCFF073YEA, ENCFF335CNE	15391108065	ENCODE Processing Pipeline	59f32794a21683d19d06210daf63bc2a		https://www.encodeproject.org/files/ENCFF477RUX/@@download/ENCFF477RUX.bam	hg19				released	s3://encode-public/2018/11/16/aad7488a-3a76-4046-af99-56f717af79ea/ENCFF477RUX.bam				
ENCFF349FVG	bam	bam		alignments	ENCSR000EQD	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				1							ENCFF458VEF, ENCFF964MUX	12119366115	ENCODE Processing Pipeline	66929d9328201e470579fe7506244619		https://www.encodeproject.org/files/ENCFF349FVG/@@download/ENCFF349FVG.bam	hg19				released	s3://encode-public/2017/09/28/b6453025-1858-4514-8e77-6d590ca91c18/ENCFF349FVG.bam				
ENCFF162GBJ	bam	bam		alignments	ENCSR167JFX	DNase-seq	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF045DUV, ENCFF617TBH	36755352407	ENCODE Processing Pipeline	22c809266fd3ca8fd91f6e3df7716438		https://www.encodeproject.org/files/ENCFF162GBJ/@@download/ENCFF162GBJ.bam	hg19				released	s3://encode-public/2017/12/08/a9867f7c-8cf0-4cde-b76a-7f039c72794f/ENCFF162GBJ.bam				
ENCFF542ZZY	bam	bam		alignments	ENCSR783OCW	DNase-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1							ENCFF183WXG	8235586413	ENCODE Processing Pipeline	7df36489e16e4bf0b51a416c48c84195		https://www.encodeproject.org/files/ENCFF542ZZY/@@download/ENCFF542ZZY.bam	hg19				released	s3://encode-public/2017/09/19/1c3615d9-511d-482d-920a-12f309dc86c5/ENCFF542ZZY.bam				
ENCFF978OTC	bam	bam		alignments	ENCSR000EPG	DNase-seq	EFO:0005697	M059J	cell line	Homo sapiens											DNA						2012-06-12	ENCODE				2							ENCFF363XOT	2257160645	ENCODE Processing Pipeline	40981baa715438bbde8134cb457b76c4		https://www.encodeproject.org/files/ENCFF978OTC/@@download/ENCFF978OTC.bam	hg19				released	s3://encode-public/2017/09/28/af4263b9-5188-40eb-bdc0-75415013f643/ENCFF978OTC.bam				
ENCFF536JLW	bam	bam		alignments	ENCSR000EPG	DNase-seq	EFO:0005697	M059J	cell line	Homo sapiens											DNA						2012-06-12	ENCODE				1							ENCFF002SYV, ENCFF566AWT	19149832354	ENCODE Processing Pipeline	4d4dcf6bf6634d19c5225567db5ba4f3		https://www.encodeproject.org/files/ENCFF536JLW/@@download/ENCFF536JLW.bam	hg19				released	s3://encode-public/2017/09/28/4fbf128b-0329-4591-86b8-7cae3c305e01/ENCFF536JLW.bam				
ENCFF015ENZ	bam	bam		alignments	ENCSR873ANE	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2017-12-13	ENCODE				1							ENCFF428AYF	7402264941	ENCODE Processing Pipeline	0bfaec3076d7fa4e4d70ede154a234e6		https://www.encodeproject.org/files/ENCFF015ENZ/@@download/ENCFF015ENZ.bam	hg19				released	s3://encode-public/2017/12/01/1c8e80c7-9c72-4a5b-8e0b-cb109d6ac6b5/ENCFF015ENZ.bam				
ENCFF583ACD	bam	bam		alignments	ENCSR873ANE	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2017-12-13	ENCODE				2							ENCFF044UNG	6529411641	ENCODE Processing Pipeline	2f346f0ed5b84178b003b3b9fe778185		https://www.encodeproject.org/files/ENCFF583ACD/@@download/ENCFF583ACD.bam	hg19				released	s3://encode-public/2017/12/01/178b5476-aa3b-4997-8337-523e021f39fb/ENCFF583ACD.bam				
ENCFF322XDC	bam	bam		alignments	ENCSR683QJJ	DNase-seq	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF523BCS, ENCFF642OML	19219531517	ENCODE Processing Pipeline	8f3f24e878f46d5759f81cb211b6a64a		https://www.encodeproject.org/files/ENCFF322XDC/@@download/ENCFF322XDC.bam	hg19				released	s3://encode-public/2017/12/03/e829a76d-6405-45fc-b498-a59e36903b46/ENCFF322XDC.bam				
ENCFF417KFG	bam	bam		alignments	ENCSR000EQG	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				1							ENCFF132OCA	1010083636	ENCODE Processing Pipeline	3436eb18abae70c4959c3c1fa4d8da9e		https://www.encodeproject.org/files/ENCFF417KFG/@@download/ENCFF417KFG.bam	hg19				released	s3://encode-public/2017/10/10/1fa70ffd-9c39-4f7c-b7b3-b82e7952e431/ENCFF417KFG.bam				
ENCFF300BLH	bam	bam		alignments	ENCSR000EQG	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				2							ENCFF252JWJ	14087677441	ENCODE Processing Pipeline	05f02d4ca4e7484f6b2c4a9423385396		https://www.encodeproject.org/files/ENCFF300BLH/@@download/ENCFF300BLH.bam	hg19				released	s3://encode-public/2017/10/10/353449fe-b389-4f79-ae42-3ba121e91b2a/ENCFF300BLH.bam				
ENCFF845JNV	bam	bam		alignments	ENCSR000ELW	DNase-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA						2016-07-21	ENCODE				1							ENCFF861UXY	14435765844	ENCODE Processing Pipeline	fcabc2bf48d9dfd4afe827b6d19a22ae		https://www.encodeproject.org/files/ENCFF845JNV/@@download/ENCFF845JNV.bam	hg19				released	s3://encode-public/2017/12/01/af32c6fa-9b71-4ecb-b124-90765b45f614/ENCFF845JNV.bam				
ENCFF798MMO	bam	bam		alignments	ENCSR000ELW	DNase-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA						2016-07-21	ENCODE				2							ENCFF207IJL	1748941338	ENCODE Processing Pipeline	a0e9276a91a4fd7f3a6c738a100d1d2c		https://www.encodeproject.org/files/ENCFF798MMO/@@download/ENCFF798MMO.bam	hg19				released	s3://encode-public/2017/12/01/bde3aef1-cced-4165-9b64-15c0fa65f44a/ENCFF798MMO.bam				
ENCFF225SNR	bam	bam		alignments	ENCSR434OBM	DNase-seq	CL:2000045	foreskin melanocyte	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF162QOA, ENCFF671BCM, ENCFF675FYB	10515148126	ENCODE Processing Pipeline	66e183fb11f9780ff6c7e6308604f02e		https://www.encodeproject.org/files/ENCFF225SNR/@@download/ENCFF225SNR.bam	hg19				released	s3://encode-public/2017/10/03/4addfd27-7953-475c-bbd6-3b89d44ce7bc/ENCFF225SNR.bam				
ENCFF243NYB	bam	bam		alignments	ENCSR437AYW	DNase-seq	UBERON:0000996	vagina	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF446TOY	8481823005	ENCODE Processing Pipeline	b7c2ddad5038120d49c125a106547fbc		https://www.encodeproject.org/files/ENCFF243NYB/@@download/ENCFF243NYB.bam	hg19				released	s3://encode-public/2017/09/19/3db35157-5efd-4e51-b57b-8c6f3154eff5/ENCFF243NYB.bam				
ENCFF769FMU	bam	bam		alignments	ENCSR575VMI	DNase-seq	UBERON:0001987	placenta	tissue	Homo sapiens											DNA						2016-05-09	ENCODE				1							ENCFF551BNW	7741799501	ENCODE Processing Pipeline	c4f336690f6411ee5e9fcd1d5fef31b1		https://www.encodeproject.org/files/ENCFF769FMU/@@download/ENCFF769FMU.bam	hg19				released	s3://encode-public/2017/10/08/80bd3faf-21ab-4e5e-bd67-e98fd7396038/ENCFF769FMU.bam				
ENCFF200VKT	bam	bam		alignments	ENCSR575VMI	DNase-seq	UBERON:0001987	placenta	tissue	Homo sapiens											DNA						2016-05-09	ENCODE				2							ENCFF809DHL	6138552923	ENCODE Processing Pipeline	034ce6944b1f3048f3f9a2944360635e		https://www.encodeproject.org/files/ENCFF200VKT/@@download/ENCFF200VKT.bam	hg19				released	s3://encode-public/2017/10/08/fdcb9372-bb65-403f-9c09-fcb44ef1f491/ENCFF200VKT.bam				
ENCFF025QEQ	bam	bam		alignments	ENCSR641ZPF	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1							ENCFF035CRF	7774236103	ENCODE Processing Pipeline	76a8e7c4670109486220e8f63b3f7627		https://www.encodeproject.org/files/ENCFF025QEQ/@@download/ENCFF025QEQ.bam	hg19				released	s3://encode-public/2017/09/14/e09564db-3994-4f82-a5d0-a716e05e7859/ENCFF025QEQ.bam				
ENCFF664CXL	bam	bam		alignments	ENCSR768OLL	DNase-seq	UBERON:0004539	right kidney	tissue	Homo sapiens											DNA						2016-05-09	ENCODE				1							ENCFF507TNG, ENCFF615EXY	6632346200	ENCODE Processing Pipeline	07e54a95df0e4f71e850a30a7189541a		https://www.encodeproject.org/files/ENCFF664CXL/@@download/ENCFF664CXL.bam	hg19				released	s3://encode-public/2017/09/07/475d2302-7ea2-4679-9465-d677882ed331/ENCFF664CXL.bam				
ENCFF264PVL	bam	bam		alignments	ENCSR098PTC	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens											DNA						2015-08-31	ENCODE				2							ENCFF200EEO	9190748575	ENCODE Processing Pipeline	2183d40fe256f7fb7a4d6af7628d0788		https://www.encodeproject.org/files/ENCFF264PVL/@@download/ENCFF264PVL.bam	hg19				released	s3://encode-public/2017/09/08/40c58e96-8b2a-4caf-b796-d302b1e56f42/ENCFF264PVL.bam				
ENCFF333DUI	bam	bam		alignments	ENCSR098PTC	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens											DNA						2015-08-31	ENCODE				1							ENCFF221HTO, ENCFF769XMX	11846738451	ENCODE Processing Pipeline	902445874a5f64ffb379ec31b37ca8a9		https://www.encodeproject.org/files/ENCFF333DUI/@@download/ENCFF333DUI.bam	hg19				released	s3://encode-public/2017/09/08/94178660-b43f-40c0-9a8b-a3219c8f9a23/ENCFF333DUI.bam				
ENCFF752TCZ	bam	bam		alignments	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, kit ligand, hydrocortisone succinate, erythropoietin		6 day								DNA						2015-08-31	ENCODE				1							ENCFF312AJA	5814219278	ENCODE Processing Pipeline	73ad5cd95275be6085712ae4b7fb1e21		https://www.encodeproject.org/files/ENCFF752TCZ/@@download/ENCFF752TCZ.bam	hg19				released	s3://encode-public/2017/09/10/4df33f6a-b2f0-4fca-9a37-070643d42ab7/ENCFF752TCZ.bam				
ENCFF531PVM	bam	bam		alignments	ENCSR564JUY	DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, kit ligand, hydrocortisone succinate, erythropoietin		6 day								DNA						2015-08-31	ENCODE				2							ENCFF626HKJ	14067682688	ENCODE Processing Pipeline	3b87f0c7cee781e198258f63a7246402		https://www.encodeproject.org/files/ENCFF531PVM/@@download/ENCFF531PVM.bam	hg19				released	s3://encode-public/2017/09/10/badea150-5895-4e17-bd28-f10d802eb541/ENCFF531PVM.bam				
ENCFF427DFD	bam	bam		alignments	ENCSR000EOO	DNase-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens											DNA						2011-05-04	ENCODE				1							ENCFF826DHO, ENCFF839TSS	47273837490	ENCODE Processing Pipeline	962034d918d66d123e942f2a4e3afeb9		https://www.encodeproject.org/files/ENCFF427DFD/@@download/ENCFF427DFD.bam	hg19				released	s3://encode-public/2017/12/10/8f4fe9b3-a37e-4c98-abf9-b90e0ec2e5d2/ENCFF427DFD.bam				
ENCFF192DFJ	bam	bam		alignments	ENCSR000EOO	DNase-seq	CL:0000515	skeletal muscle myoblast	primary cell	Homo sapiens											DNA						2011-05-04	ENCODE				2							ENCFF197SHK	1633998975	ENCODE Processing Pipeline	674b81c053e6c5de70849c43735ced6f		https://www.encodeproject.org/files/ENCFF192DFJ/@@download/ENCFF192DFJ.bam	hg19				released	s3://encode-public/2017/12/10/d6a9b0c5-6849-409e-8809-ad186c04e144/ENCFF192DFJ.bam				
ENCFF062UCS	bam	bam		alignments	ENCSR620QNS	DNase-seq	EFO:0007598	HAP-1	cell line	Homo sapiens											DNA						2016-05-11	ENCODE				1							ENCFF370GNW	5859906136	ENCODE Processing Pipeline	745b6714dbe3cc4b409ca67a837a1910		https://www.encodeproject.org/files/ENCFF062UCS/@@download/ENCFF062UCS.bam	hg19				released	s3://encode-public/2017/09/11/7ce9ead0-a6e4-4d84-b8f5-3e40134e5f35/ENCFF062UCS.bam				
ENCFF208ZVI	bam	bam		alignments	ENCSR620QNS	DNase-seq	EFO:0007598	HAP-1	cell line	Homo sapiens											DNA						2016-05-11	ENCODE				2							ENCFF308CJU	5012769214	ENCODE Processing Pipeline	0a400a43481117ce6afbcbf91764efff		https://www.encodeproject.org/files/ENCFF208ZVI/@@download/ENCFF208ZVI.bam	hg19				released	s3://encode-public/2017/09/11/f2f4720b-a9c2-461a-b50e-c528156a5bb5/ENCFF208ZVI.bam				
ENCFF041XRQ	bam	bam		alignments	ENCSR672EWY	DNase-seq	EFO:0009318	HFFc6	cell line	Homo sapiens											DNA						2018-10-19	ENCODE				2							ENCFF558FQH	7822198274	ENCODE Processing Pipeline	d63adee8e4e0713ca6f809f149baf14e		https://www.encodeproject.org/files/ENCFF041XRQ/@@download/ENCFF041XRQ.bam	hg19				released	s3://encode-public/2018/10/16/812c9247-0f4e-48c5-94f5-bbea77352f6d/ENCFF041XRQ.bam				
ENCFF867KHC	bam	bam		alignments	ENCSR672EWY	DNase-seq	EFO:0009318	HFFc6	cell line	Homo sapiens											DNA						2018-10-19	ENCODE				1							ENCFF472ADX	6860251687	ENCODE Processing Pipeline	b81cc1086dba9b056a7c5e99110be735		https://www.encodeproject.org/files/ENCFF867KHC/@@download/ENCFF867KHC.bam	hg19				released	s3://encode-public/2018/10/16/9579d676-9dd9-4377-9a10-e35639f9d143/ENCFF867KHC.bam				
ENCFF702IJE	bam	bam		alignments	ENCSR070CMW	DNase-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF825TUU	10343419089	ENCODE Processing Pipeline	efd335b9a4880310f3f46ca554c8c4e7		https://www.encodeproject.org/files/ENCFF702IJE/@@download/ENCFF702IJE.bam	hg19				released	s3://encode-public/2017/09/19/922adb08-e5ac-463e-b0a0-2b3199ca8ad5/ENCFF702IJE.bam				
ENCFF545YFF	bam	bam		alignments	ENCSR805XIF	DNase-seq	UBERON:0000981	femur	tissue	Homo sapiens											DNA						2017-12-13	ENCODE				1							ENCFF925MJQ	7903575502	ENCODE Processing Pipeline	9e06db83976b222be54c3c20d1492616		https://www.encodeproject.org/files/ENCFF545YFF/@@download/ENCFF545YFF.bam	hg19				released	s3://encode-public/2017/12/03/13519dd0-d4ce-41fb-b0af-8b8c7445eef5/ENCFF545YFF.bam				
ENCFF566BGJ	bam	bam		alignments	ENCSR746RDJ	DNase-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1							ENCFF837KUH	8784767232	ENCODE Processing Pipeline	21de4971b68348a4ac06d15a082dffce		https://www.encodeproject.org/files/ENCFF566BGJ/@@download/ENCFF566BGJ.bam	hg19				released	s3://encode-public/2017/09/19/0cad0aae-6606-4d86-b427-97750788cf2f/ENCFF566BGJ.bam				
ENCFF519UYK	bam	bam		alignments	ENCSR746RDJ	DNase-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				2							ENCFF429STS	5560758110	ENCODE Processing Pipeline	7ddea28e52e24f2d4e8b56a7901305e2		https://www.encodeproject.org/files/ENCFF519UYK/@@download/ENCFF519UYK.bam	hg19				released	s3://encode-public/2017/09/19/21fa1953-b115-4573-8819-1787b2d23d89/ENCFF519UYK.bam				
