File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF970LXV	bam	bam		alignments	ENCSR597NVK	DNase-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF241DIK	11047753505	ENCODE Processing Pipeline	32571ef419d4e18f77ce5fd88ecf5c47		https://www.encodeproject.org/files/ENCFF970LXV/@@download/ENCFF970LXV.bam	hg19				released	s3://encode-public/2017/09/19/591870b7-2a56-45b7-8708-b3d28f3a34b2/ENCFF970LXV.bam				
ENCFF246PTY	bam	bam		alignments	ENCSR385SZQ	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	6.0 hour								DNA						2018-01-29	ENCODE				1							ENCFF332DWR, ENCFF620LEV	11459928902	ENCODE Processing Pipeline	f0bb92986db8e933fb95663cbe44a185		https://www.encodeproject.org/files/ENCFF246PTY/@@download/ENCFF246PTY.bam	hg19				released	s3://encode-public/2018/01/21/5ae8694a-caf5-463e-ac1c-a8bf9bf9315c/ENCFF246PTY.bam				
ENCFF130KHK	bam	bam		alignments	ENCSR364MFN	DNase-seq	CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens											DNA						2016-06-14	ENCODE				1							ENCFF471WBD	13339949324	ENCODE Processing Pipeline	ef67d5b6bd672ccdc7356d999df188f3		https://www.encodeproject.org/files/ENCFF130KHK/@@download/ENCFF130KHK.bam	hg19				released	s3://encode-public/2017/09/13/ea9fb229-d3d0-4383-a23f-5961515f81ae/ENCFF130KHK.bam				
ENCFF253DTS	bam	bam		alignments	ENCSR364MFN	DNase-seq	CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens											DNA						2016-06-14	ENCODE				2							ENCFF854ZNK	7634654105	ENCODE Processing Pipeline	59ee279b028fd0524c1a148514e31cc3		https://www.encodeproject.org/files/ENCFF253DTS/@@download/ENCFF253DTS.bam	hg19				released	s3://encode-public/2018/01/23/e2c96d49-8529-41b5-b43a-02e88054f934/ENCFF253DTS.bam				
ENCFF743NIV	bam	bam		alignments	ENCSR301OGM	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens	Sendai virus		2.0 hour								DNA						2018-05-09	ENCODE				1							ENCFF400MTM, ENCFF949LJS	19411277420	ENCODE Processing Pipeline	3a4571df96ee97f1c33344b231dea666		https://www.encodeproject.org/files/ENCFF743NIV/@@download/ENCFF743NIV.bam	hg19				released	s3://encode-public/2018/05/08/fdd4d15b-9e64-4823-b122-596f43314e68/ENCFF743NIV.bam				
ENCFF121XWJ	bam	bam		alignments	ENCSR301OGM	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens	Sendai virus		2.0 hour								DNA						2018-05-09	ENCODE				2							ENCFF003IZM, ENCFF042FFH	6294737702	ENCODE Processing Pipeline	43da7f7e4eb9ed83b4f55b8195284ece		https://www.encodeproject.org/files/ENCFF121XWJ/@@download/ENCFF121XWJ.bam	hg19				released	s3://encode-public/2018/05/08/85d588bc-0e57-4fdd-97a7-701492538a6a/ENCFF121XWJ.bam				
ENCFF074KIH	bam	bam		alignments	ENCSR452DCM	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF079HLL, ENCFF303BRT	18956562762	ENCODE Processing Pipeline	b284abb15e79c33e93309ba21d474fdf		https://www.encodeproject.org/files/ENCFF074KIH/@@download/ENCFF074KIH.bam	hg19				released	s3://encode-public/2017/12/03/77b27811-e52b-41fc-b78c-b61c424718bf/ENCFF074KIH.bam				
ENCFF824UAU	bam	bam		alignments	ENCSR000EQI	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				1							ENCFF674GYR, ENCFF983LML	18761418465	ENCODE Processing Pipeline	d9a4125275cf72cbd8b82ed8350444eb		https://www.encodeproject.org/files/ENCFF824UAU/@@download/ENCFF824UAU.bam	hg19				released	s3://encode-public/2017/12/01/d7259f13-ca6e-4eb7-ad5c-eeaccb59a64e/ENCFF824UAU.bam				
ENCFF540ZBW	bam	bam		alignments	ENCSR276ITP	DNase-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2019-11-08	ENCODE				1							ENCFF983AAB	3028101049	ENCODE Processing Pipeline	80de4231b469cbb0d8c982c58458cbc4		https://www.encodeproject.org/files/ENCFF540ZBW/@@download/ENCFF540ZBW.bam	hg19				released	s3://encode-public/2019/09/06/6895197a-1cdd-42de-b010-7bf7b4b87b0f/ENCFF540ZBW.bam				
ENCFF051GGW	bam	bam		alignments	ENCSR000EOD	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE				1							ENCFF560BTT, ENCFF815MPD	16984444002	ENCODE Processing Pipeline	82efec426b978824460449987aca84d3		https://www.encodeproject.org/files/ENCFF051GGW/@@download/ENCFF051GGW.bam	hg19				released	s3://encode-public/2017/12/01/9499ba5b-8f41-4a8c-aceb-9f408d14e5b6/ENCFF051GGW.bam				
