ENCFF983AAB
ENCFF446TOY
ENCFF619WFG
ENCFF207TVB
ENCFF982MNF
ENCFF956HAU
ENCFF109BKD
ENCFF952XFA
ENCFF854ZNK
ENCFF106NQV
ENCFF066OAF
ENCFF041YXO
ENCFF283QOH
ENCFF093NIQ
ENCFF283RQC
ENCFF037NAS
ENCFF859XWR
ENCFF016IVM
ENCFF826DHO
ENCFF197SHK
ENCFF112BQF
ENCFF045DUV
ENCFF183WXG
ENCFF500UBP
ENCFF939WIN
ENCFF598AKN
ENCFF544LTF
ENCFF983LXZ
ENCFF458DNP
ENCFF889ZST
ENCFF844SDA
ENCFF837KUH
ENCFF429STS
ENCFF035WVO
ENCFF971LXD
ENCFF068QFD
ENCFF994RTV
ENCFF349TTK
ENCFF628VHI
ENCFF918MRP
ENCFF640ZAZ
ENCFF346KOY
ENCFF623XOH
ENCFF409DBJ
ENCFF504PVS
ENCFF685RRO
ENCFF931ISK
ENCFF803XHI
ENCFF535NQP
ENCFF321FQC
ENCFF900HJH
ENCFF143TOL
ENCFF588SRS
ENCFF064VTG
ENCFF205YTD
ENCFF987LET
ENCFF467DLB
ENCFF733BSS
